account_id,campaign_id,campaign_name,buying_type,objective,start_time,stop_time,start_time_utc,stop_time_utc,account_currency,account_name,currency_divisor,campaign_daily_budget_curr,campaign_lifetime_budget_curr,campaign_budget_setup,campaign_daily_budget_curr_mean,campaign_daily_budget_curr_std,camp_daily_lower_bound_95,camp_daily_upper_bound_95,camp_daily_lower_bound_90,camp_daily_upper_bound_90,camp_daily_lower_bound_80,camp_daily_upper_bound_80,campaign_lifetime_budget_curr_mean,campaign_lifetime_budget_curr_std,camp_lifetime_lower_bound_95,camp_lifetime_upper_bound_95,camp_lifetime_lower_bound_90,camp_lifetime_upper_bound_90,camp_lifetime_lower_bound_80,camp_lifetime_upper_bound_80,campaign_lifetime_oulier_80,campaign_lifetime_oulier_90,campaign_lifetime_oulier_95
00000000,123456813,Campaign 25,AUCTION,CONVERSIONS,2021-05-27T12:00:47-0700,2021-06-26T23:59:04-0700,2021-05-27 19:00:47+00:00,2021-06-27 06:59:04+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456814,Campaign 26,AUCTION,MESSAGES,2021-05-26T17:00:40-0700,2021-06-25T23:59:40-0700,2021-05-27 00:00:40+00:00,2021-06-26 06:59:40+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456815,Campaign 27,AUCTION,MESSAGES,2021-05-26T17:00:40-0700,2021-06-25T23:59:40-0700,2021-05-27 00:00:40+00:00,2021-06-26 06:59:40+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456816,Campaign 28,AUCTION,LINK_CLICKS,2021-05-22T16:30:04-0700,2021-06-21T23:59:04-0700,2021-05-22 23:30:04+00:00,2021-06-22 06:59:04+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456817,Campaign 29,AUCTION,BRAND_AWARENESS,2021-05-22T16:30:04-0700,2021-06-21T23:59:04-0700,2021-05-22 23:30:04+00:00,2021-06-22 06:59:04+00:00,USD,"00000000, USD",100,,24000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456818,Campaign 30,AUCTION,MESSAGES,2021-05-11T12:30:19-0700,2021-06-10T11:59:19-0700,2021-05-11 19:30:19+00:00,2021-06-10 18:59:19+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456819,Campaign 31,AUCTION,MESSAGES,2021-03-28T21:15:31-0700,2021-04-18T21:15:26-0700,2021-03-29 04:15:31+00:00,2021-04-19 04:15:26+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456820,Campaign 32,AUCTION,BRAND_AWARENESS,2021-03-28T21:00:06-0700,2021-04-18T21:00:06-0700,2021-03-29 04:00:06+00:00,2021-04-19 04:00:06+00:00,USD,"00000000, USD",100,,11250,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456821,Campaign 33,AUCTION,BRAND_AWARENESS,2021-02-14T21:30:24-0800,2021-03-05T19:54:24-0800,2021-02-15 05:30:24+00:00,2021-03-06 03:54:24+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456822,Campaign 34,AUCTION,MESSAGES,2021-01-23T16:43:51-0800,2021-02-08T14:49:46-0800,2021-01-24 00:43:51+00:00,2021-02-08 22:49:46+00:00,USD,"00000000, USD",100,,3750,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456823,Campaign 35,AUCTION,CONVERSIONS,2020-12-11T12:00:25-0800,2020-12-24T23:59:25-0800,2020-12-11 20:00:25+00:00,2020-12-25 07:59:25+00:00,USD,"00000000, USD",100,,4500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456824,Campaign 36,AUCTION,MESSAGES,2020-10-13T16:15:15-0700,2020-11-02T16:15:15-0800,2020-10-13 23:15:15+00:00,2020-11-03 00:15:15+00:00,USD,"00000000, USD",100,,4500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456825,Campaign 37,AUCTION,MESSAGES,2020-10-10T13:01:21-0700,2020-11-02T12:01:11-0800,2020-10-10 20:01:21+00:00,2020-11-02 20:01:11+00:00,USD,"00000000, USD",100,,6750,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456826,Campaign 38,AUCTION,MESSAGES,2020-09-10T13:53:53-0700,2020-09-26T12:01:53-0700,2020-09-10 20:53:53+00:00,2020-09-26 19:01:53+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456827,Campaign 39,AUCTION,MESSAGES,2020-08-17T16:00:06-0700,2020-08-31T11:46:06-0700,2020-08-17 23:00:06+00:00,2020-08-31 18:46:06+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456828,Campaign 40,AUCTION,MESSAGES,2020-07-09T16:59:52-0700,2020-07-31T15:09:52-0700,2020-07-09 23:59:52+00:00,2020-07-31 22:09:52+00:00,USD,"00000000, USD",100,,30000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456829,Campaign 41,AUCTION,MESSAGES,2020-06-02T19:57:59-0700,2020-06-09T19:57:56-0700,2020-06-03 02:57:59+00:00,2020-06-10 02:57:56+00:00,USD,"00000000, USD",100,,18135,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456830,Campaign 42,AUCTION,MESSAGES,2020-05-16T22:30:16-0700,2020-06-18T23:59:16-0700,2020-05-17 05:30:16+00:00,2020-06-19 06:59:16+00:00,USD,"00000000, USD",100,,45000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456831,Campaign 43,AUCTION,MESSAGES,2020-04-24T06:00:48-0700,2020-05-09T20:23:48-0700,2020-04-24 13:00:48+00:00,2020-05-10 03:23:48+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456832,Campaign 44,AUCTION,MESSAGES,2020-04-24T06:00:48-0700,2020-05-09T20:23:48-0700,2020-04-24 13:00:48+00:00,2020-05-10 03:23:48+00:00,USD,"00000000, USD",100,,15000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
