Budget for BRAND_AWARENESS,Reach for BRAND_AWARENESS,Impressions for BRAND_AWARENESS,Frequency for BRAND_AWARENESS,Weekly Frequency for BRAND_AWARENESS,CPM for BRAND_AWARENESS,Budget forLINK_CLICKS,Reach for LINK_CLICKS,Impressions for LINK_CLICKS,Frequency forLINK_CLICKS,Weekly Frequency for LINK_CLICKS,CPM for LINK_CLICKS,% Weight Reach for BRAND_AWARENESS,% Weight Reach for LINK_CLICKS,Total Budget,% Budget for BRAND_AWARENESS,% Budget for  LINK_CLICKS,Sum of Reach (NOT deduplicated),Total Impressions,Weighted Average Frequency,Weighted Average Weekly Frequency,Total CPM,Country,Gender,Gender Label,Age min,Age max,Campaign days,Campaign weeks,Frequency Caps,Included interests,Excluded interests
6000.0,12239034.783158416,34333519.711924635,2.8052222042977966,0.7013055510744491,0.17475633288818024,24000.0,33875124.79787704,104776489.40778416,3.093018783894933,0.7732546959737332,0.229059020164279,0.26540730427171755,0.7345926957282826,30000.0,0.2,0.8,46114159.58103546,139110009.1197088,3.0166354695254363,0.7541588673813591,0.21565666043615883,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
6300.0,12707939.902817948,35885309.447566316,2.8238333736221284,0.7059583434055321,0.1755593053810842,23700.0,33559812.98894294,103620131.7072092,3.0876207817274026,0.7719051954318507,0.2287200335449015,0.27466084061931845,0.7253391593806815,30000.0,0.21,0.79,46267752.89176089,139505441.1547755,3.0151687104724165,0.7537921776181041,0.2150453756618442,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
6600.0,13176860.65316916,37437151.61771754,2.841106684557184,0.710276671139296,0.17629546359174605,23400.0,33244511.690402478,102463812.55185759,3.0821249629640173,0.7705312407410043,0.22837330972978495,0.28385331988130835,0.7161466801186916,30000.0,0.22,0.78,46421372.34357164,139900964.16957512,3.0137111244861603,0.7534277811215401,0.21443740704772235,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
6900.0,13636244.890019452,38976479.73230585,2.8582894421224854,0.7145723605306213,0.1770298407498536,23100.0,32924909.84191971,101301272.54435346,3.0767338506172135,0.7691834626543034,0.2280326734285195,0.2928674120847246,0.7071325879152754,30000.0,0.23,0.77,46561154.73193916,140277752.2766593,3.0127586020169845,0.7531896505042461,0.21386142501651473,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
7200.0,14060780.7344954,40470086.28450662,2.878198894773431,0.7195497236933578,0.17790918332576955,22800.0,32600070.892560102,100131196.86738065,3.071497929908171,0.7678744824770427,0.22770126307585828,0.3013399936820376,0.6986600063179623,30000.0,0.24,0.76,46660851.6270555,140601283.15188727,3.013249199881924,0.753312299970481,0.21336931873937393,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
7500.0,14485311.98960048,41963677.272632055,2.8969554322366213,0.7242388580591553,0.1787259956098119,22500.0,32275177.997037712,98961068.38976872,3.066163156204865,0.7665407890512163,0.22736213711215558,0.3097767365940703,0.6902232634059298,30000.0,0.25,0.75,46760489.98663819,140924745.66240078,3.0137465396674723,0.7534366349168681,0.21287957525832957,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
7800.0,14909852.615068084,43457301.063070476,2.914656037125786,0.7286640092814465,0.17948652606565924,22200.0,31950274.27139114,97790900.90657401,3.0607207188010594,0.7651801797002649,0.22701498599761444,0.3181778114087109,0.6818221885912891,30000.0,0.26,0.74,46860126.886459224,141248201.9696445,3.0142461780615104,0.7535615445153776,0.21239208415868735,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
8100.000000000001,15334379.089181507,44950874.64836152,2.9313730123946535,0.7328432530986634,0.18019671615656205,21900.0,31625370.54574456,96620732.42337929,3.05516073672471,0.7637901841811775,0.22665942857933524,0.3265430333081811,0.673456966691819,30000.0,0.27,0.73,46959749.634926066,141571607.0717408,3.0147387177356566,0.7536846794339142,0.21190689729754658,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
8400.0,15758919.714649111,46444498.33682478,2.9471702584946473,0.7367925646236618,0.18086103415482113,21600.0,31293211.4869381,95440103.55766062,3.049861788537272,0.762465447134318,0.22631995560388563,0.33492467423276917,0.6650753257672307,30000.0,0.28,0.72,47052131.201587215,141884601.8944854,3.0154678612912806,0.7538669653228202,0.21143943457874267,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
8700.0,16183452.412732849,47938094.503628336,2.962148618665184,0.740537154666296,0.1814840595998557,21300.0,30957629.578724407,94254520.38220757,3.0446272631573907,0.7611568157893477,0.2259838564095097,0.34329828101242055,0.6567017189875796,30000.0,0.29,0.71,47141081.99145725,142192614.88583592,3.016312486282982,0.7540781215707455,0.21098142139158563,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
9000.0,16607986.814230135,49431695.97912614,2.9763698501641445,0.7440924625410361,0.18206941561949425,21000.0,30622058.85620146,93068975.7986585,3.0392775557243903,0.7598193889310976,0.2256391006755088,0.3516402869927263,0.6483597130072738,30000.0,0.3,0.7,47230045.67043159,142500671.77778465,3.0171566720871317,0.7542891680217829,0.21052532332466448,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
9300.0,17016617.469823137,50899655.675039575,2.9911706065775987,0.7477926516443997,0.18271243442930754,20700.0,30286476.94798776,91883392.5494234,3.033805018869822,0.7584512547174554,0.22528554318306895,0.3597358202303128,0.6402641797696871,30000.0,0.31,0.69,47303094.4178109,142783048.224463,3.018467893593841,0.7546169733984602,0.2101089756316052,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
9600.0,17403730.134438306,52332907.72866789,3.0069928119192673,0.7517482029798168,0.1834409822930808,20400.0,29949768.06676204,90696214.40212208,3.0282729028978634,0.7570682257244659,0.224926697707051,0.36752786585040814,0.6324721341495918,30000.0,0.32,0.68,47353498.20120035,143029122.13078997,3.020451876475397,0.7551129691188493,0.20974749444778898,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
9900.0,17790772.01111869,53766019.7877899,3.0221255028250784,0.7555313757062696,0.18413116758641412,20100.0,29605364.065820634,89498065.99963568,3.02303182316072,0.75575795579018,0.22458585864952457,0.375363341480801,0.6246366585191989,30000.0,0.33,0.67,47396136.07693933,143264085.78742558,3.0226916237310815,0.7556729059327704,0.2094034931023385,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
10200.0,18177825.294863924,55199175.08423709,3.0366148201030363,0.7591537050257591,0.18478537015153249,19800.0,29259055.243184164,88297216.31046209,3.0177723525499163,0.7544430881374791,0.22424262991917168,0.38320026714834016,0.6167997328516599,30000.0,0.34,0.66,47436880.53804809,143496391.3946992,3.024992791150006,0.7562481977875015,0.2090644908099634,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
10500.0,18564879.325762227,56632332.14719323,3.0505004401624505,0.7626251100406126,0.18540645602779388,19500.0,28912746.420547694,87096366.53858764,3.0123849994042073,0.7530962498510518,0.22388993680190566,0.39102375137630246,0.6089762486236976,30000.0,0.35,0.65,47477625.74630992,143728698.68578088,3.027289042034857,0.7568222605087143,0.20872658191657245,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
10800.0,18951922.99420191,58065451.64392906,3.0638190205965907,0.7659547551491477,0.18599700328222932,19200.0,28566437.597911227,85895516.67101827,3.0068644114201204,0.7517161028550301,0.22352738238407047,0.3988336878218702,0.6011663121781298,30000.0,0.36,0.64,47518360.59211314,143960968.31494734,3.0295798282364252,0.7573949570591063,0.2083898180954728,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
