Country,Account currency,Gender,Age min,Age max,Campaign days,Frequency cap,Campaign objective,Included interests/behaviors,Excluded interests/behaviors,Scenario budget,Budget,Impressions,Reach,Reach (millions),Lower Reach Percentage,Upper Reach Percentage,Frequency,Weekly frequency,CPM
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+55 pct,155000,320803043.3,37934717.83,37.9,0.79,0.93,8.456692375,2.114173094,0.483162499
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+55 pct,155000,441308922.9,34734040.43,34.7,0.724,0.851,12.70531474,1.588164342,0.351227886
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+60 pct,160000,179450902.5,41353479.74,41.4,0.862,1.014,4.342486475,2.171243237,0.891608779
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+60 pct,160000,281505430.2,39511252.37,39.5,0.823,0.968,7.124687008,1.781171752,0.568372695
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+60 pct,160000,405556436.2,36109617.91,36.1,0.752,0.885,11.23123655,1.403904569,0.394519691
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+60 pct,160000,214376636.7,40003118.39,40,0.833,0.98,5.358993729,2.679496864,0.746349987
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+60 pct,160000,324715272.3,38141114.21,38.1,0.795,0.935,8.513503767,2.128375942,0.492739374
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+60 pct,160000,448645095.4,34926131.19,34.9,0.728,0.856,12.84552246,1.605690307,0.35662933
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+65 pct,165000,180974272.1,41566203.47,41.6,0.866,1.019,4.357972473,2.178986236,0.911731807
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+65 pct,165000,284332133.7,39709395.28,39.7,0.827,0.973,7.160314133,1.790078533,0.580307255
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+65 pct,165000,411231161.2,36305442.43,36.3,0.756,0.89,11.32694571,1.415868214,0.401234185
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+65 pct,165000,216041712.6,40169357.94,40.2,0.837,0.985,5.378316658,2.689158329,0.7637414
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+65 pct,165000,328523203,38339998.38,38.3,0.799,0.94,8.568668042,2.142167011,0.50224763
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+65 pct,165000,455830062.5,35114492,35.1,0.732,0.861,12.98121161,1.622651451,0.361977003
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+70 pct,170000,182497641.6,41778927.2,41.8,0.87,1.024,4.373458471,2.186729236,0.931518887
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+70 pct,170000,287054146,39899452.11,39.9,0.831,0.978,7.194425003,1.798606251,0.592222765
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+70 pct,170000,416797819.7,36497627.79,36.5,0.76,0.895,11.41982345,1.427477932,0.407871615
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+70 pct,170000,217706788.5,40335597.5,40.3,0.84,0.989,5.397639588,2.698819794,0.780866785
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+70 pct,170000,332218557.5,38531516.42,38.5,0.803,0.944,8.621990452,2.155497613,0.51171133
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+70 pct,170000,462850389.6,35298492.99,35.3,0.735,0.865,13.11240814,1.639051018,0.36728931
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+75 pct,175000,184021011.2,41991650.93,42,0.875,1.029,4.388944469,2.194472235,0.950978363
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+75 pct,175000,289691248.5,40082913.33,40.1,0.835,0.982,7.227292125,1.806823031,0.604091428
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+75 pct,175000,422239010.3,36685711.23,36.7,0.764,0.899,11.50962024,1.43870253,0.414457205
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+75 pct,175000,219371864.4,40501837.05,40.5,0.844,0.993,5.416962518,2.708481259,0.7977322
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+75 pct,175000,335835726.1,38718201.65,38.7,0.807,0.949,8.673826945,2.168456736,0.521088099
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+75 pct,175000,469703456,35478014.51,35.5,0.739,0.87,13.23926134,1.654907668,0.3725755
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+80 pct,180000,185544380.7,42204374.66,42.2,0.879,1.034,4.404430467,2.202215234,0.970118304
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+80 pct,180000,292255508.9,40260676.9,40.3,0.839,0.987,7.259073148,1.814768287,0.615899425
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+80 pct,180000,427513114,36868080.33,36.9,0.768,0.904,11.59572159,1.449465198,0.421039716
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+80 pct,180000,221036940.3,40668076.6,40.7,0.847,0.997,5.436285448,2.718142724,0.81434352
