budget_,impressions_itp_Brand Awareness,impressions_itp_Link Clicks,impressions_itp_Post Engagement,impressions_itp_Reach,impressions_itp_Video Views,reach_itp_Brand Awareness,reach_itp_Link Clicks,reach_itp_Post Engagement,reach_itp_Reach,reach_itp_Video Views,reach_lower_bound_pct_ipt_Brand Awareness,reach_lower_bound_pct_ipt_Link Clicks,reach_lower_bound_pct_ipt_Post Engagement,reach_lower_bound_pct_ipt_Reach,reach_lower_bound_pct_ipt_Video Views,reach_upper_bound_pct_ipt_Brand Awareness,reach_upper_bound_pct_ipt_Link Clicks,reach_upper_bound_pct_ipt_Post Engagement,reach_upper_bound_pct_ipt_Reach,reach_upper_bound_pct_ipt_Video Views,frequency_itp_Brand Awareness,frequency_itp_Link Clicks,frequency_itp_Post Engagement,frequency_itp_Reach,frequency_itp_Video Views,weekly_freq_itp_Brand Awareness,weekly_freq_itp_Link Clicks,weekly_freq_itp_Post Engagement,weekly_freq_itp_Reach,weekly_freq_itp_Video Views,cpm_itp_Brand Awareness,cpm_itp_Link Clicks,cpm_itp_Post Engagement,cpm_itp_Reach,cpm_itp_Video Views
360528,483748365.3,493551889.8,463084147.8,512409249.6,229911973.8,80130936.53,80139664.35,76247384.95,82125492.21,51763379.96,0.779483818,0.779568719,0.741706079,0.798886111,0.503534825,0.916829937,0.916929798,0.872395709,0.939650941,0.592258352,6.03696473,6.158637736,6.073435612,6.239336834,4.441582835,1.509241183,1.539659434,1.518358903,1.559834208,1.110395709,0.740812261,0.727482076,0.77539237,0.703584003,1.568109815
370528,489077193.8,498481618.7,469326179.5,516208706.8,234406273,80579936.94,80568762.14,76853532.93,82481323.38,52335413.29,0.783851527,0.783742822,0.74760246,0.802347504,0.509099351,0.921967242,0.921839384,0.87933104,0.943722236,0.598803356,6.069456098,6.187024563,6.106757849,6.258489179,4.478918137,1.517364024,1.546756141,1.526689462,1.564622295,1.119729534,0.757596065,0.743303947,0.789486795,0.717783449,1.580705436
380528,493350869.1,500231301.4,474555698.6,519138747.5,238180291.3,80938823.42,80720123.97,77362688.41,82752810.18,52810759.31,0.78734264,0.785215214,0.752555335,0.804988426,0.51372334,0.926073494,0.923571212,0.885156618,0.946828492,0.604242097,6.095353231,6.19710649,6.134159576,6.273359854,4.510058998,1.523838308,1.549276623,1.533539894,1.568339963,1.127514749,0.771311143,0.749034046,0.801855414,0.729050493,1.592524432
390528,496734545.5,506429165.8,478526561.5,523458203.3,243001288.5,81221679.06,81251447.67,77749799.33,83149414.42,53417974.63,0.790094154,0.790383732,0.756321005,0.808846444,0.519630103,0.929309829,0.929650431,0.889585805,0.951366298,0.611189641,6.115778172,6.232853491,6.154692263,6.295388323,4.549045582,1.528944543,1.558213373,1.538673066,1.573847081,1.137261395,0.782463888,0.77028652,0.811582477,0.746048112,1.607096703
400528,501513311,510472049.8,482546457.4,526464776.4,246333925,81618034.12,81596838.21,78142018,83422711.44,53837727.54,0.793949748,0.793743562,0.760136362,0.811504975,0.523713303,0.933844784,0.933602268,0.894073433,0.954493266,0.615992306,6.144632084,6.256025464,6.175247442,6.31080082,4.575480297,1.536158021,1.564006366,1.54381186,1.577700205,1.143870074,0.798631566,0.784620561,0.821712781,0.758185048,1.616835621
410528,504546030.6,514138362.7,489066546,527958761.6,251492688.1,81867286.76,81909205.13,78780889.14,83557342.83,54473189.13,0.796374385,0.796782151,0.766351062,0.812814619,0.529894836,0.936696645,0.93717626,0.901383171,0.956033671,0.623263033,6.162965444,6.276920484,6.207933132,6.318519587,4.616806512,1.540741361,1.569230121,1.551983283,1.579629897,1.154201628,0.809234892,0.797989238,0.839410682,0.764386959,1.632359158
420528,509196693.4,515621013.7,493478788.5,533525948,255244777,82247377.25,82035244.73,79215022.49,84051918.69,54928554.32,0.800071763,0.798008217,0.770574149,0.817625668,0.534324458,0.941045506,0.938618361,0.906350372,0.961692434,0.628473161,6.191035089,6.285357411,6.229610327,6.347569064,4.646837934,1.547758772,1.571339353,1.557402582,1.586892266,1.161709483,0.825861193,0.803470299,0.852169524,0.788194687,1.643705038
430528,512871750.5,521395231,495708789.2,536552864,259811024.8,82546117.73,82523472.1,79434714.27,84314564.43,55482728.24,0.802977799,0.802757511,0.772711228,0.820180588,0.539715255,0.94446359,0.944204486,0.908864008,0.964697533,0.634813824,6.213143643,6.31813652,6.240454131,6.363694407,4.682736505,1.553285911,1.57953413,1.560113533,1.590923602,1.170684126,0.839432844,0.825712106,0.858867576,0.801830832,1.65708101
440528,514767769.8,524258027.3,500428432.4,538637365,263970191,82699830.56,82764815.69,79899036.27,84493440.29,55987497.6,0.80447306,0.805105211,0.777227979,0.821920625,0.544625463,0.946222318,0.946965855,0.914176616,0.966744168,0.640589217,6.22452601,6.334301087,6.263255496,6.374894022,4.714793996,1.556131502,1.583575272,1.565813874,1.593723505,1.178698499,0.846542458,0.837414349,0.873540673,0.811453004,1.668847441
450528,519924060.3,526228058.9,505312479.8,540883355,267240617.5,83115210.51,82930865.23,80377069.94,84684323.19,56382093.35,0.808513721,0.806720479,0.781878112,0.823777463,0.548463943,0.950974949,0.948865735,0.919646109,0.968928183,0.645104043,6.255458278,6.345377202,6.286767172,6.387048913,4.739803706,1.563864569,1.5863443,1.571691793,1.596762228,1.184950927,0.866521265,0.845747206,0.889300149,0.822081895,1.678405205
